target,iteration,particle_id,hidden_units,alpha,learning_rate_init,fitness
Initial Setting Time (IST),11,7,24,0.0001860422199739318,0.003470423481527337,21.20447079498475
Initial Setting Time (IST),11,8,24,0.00016592905470162218,0.0036938575406555946,21.175092063772823
Initial Setting Time (IST),11,9,24,0.0001,0.0034478891002836824,21.212030430698043
Initial Setting Time (IST),11,10,24,0.0001292113301259669,0.0037067368097370465,21.225797852516205
Initial Setting Time (IST),11,11,24,0.00011940247564259102,0.0037199259791287974,21.236427910872088
Initial Setting Time (IST),11,12,24,0.00014111144687240027,0.0038900616902004105,21.167403865039038
Initial Setting Time (IST),11,13,24,0.0001577750962327708,0.0032453693064736513,21.298632478693932
Initial Setting Time (IST),11,14,24,0.0001,0.003660718625693982,21.177690687648045
Initial Setting Time (IST),12,0,24,0.00010601860181466094,0.003906399536356715,21.25633009765517
Initial Setting Time (IST),12,1,24,0.00013749688758308757,0.003668415556301253,21.176377739219852
Initial Setting Time (IST),12,2,24,0.0001040141388593127,0.004382804931851746,21.315690530003906
Initial Setting Time (IST),12,3,24,0.00010476112524122083,0.0035023032233122376,21.21450633926582
Initial Setting Time (IST),12,4,24,0.00011405585862898876,0.00361520363496437,21.189663565328505
Initial Setting Time (IST),12,5,24,0.0001,0.005634624468186277,21.80930544261856
Initial Setting Time (IST),12,6,24,0.00011748255374732593,0.002804621528997951,21.561758782474495
Initial Setting Time (IST),12,7,24,0.00012955139346544308,0.003675004465312446,21.164682637568458
Initial Setting Time (IST),12,8,24,0.0001228495367160747,0.003625993004147317,21.235403144261962
Initial Setting Time (IST),12,9,24,0.0001,0.0033484185863674647,21.307727373207552
Initial Setting Time (IST),12,10,24,0.00013299323917650014,0.0036819901044005767,21.16990654624017
Initial Setting Time (IST),12,11,24,0.00010408117358380972,0.003812822616378594,21.23097459355829
Initial Setting Time (IST),12,12,24,0.0001,0.004435720307202622,21.243445128462067
Initial Setting Time (IST),12,13,24,0.00010907474897199761,0.003579322296240295,21.245676183583406
Initial Setting Time (IST),12,14,24,0.0001,0.0041181776073411875,21.19348058747057
Initial Setting Time (IST),13,0,24,0.0001120386534074866,0.004309337720861111,21.221673132909302
Initial Setting Time (IST),13,1,24,0.00015911769304294043,0.0036046152109326657,21.186090037744098
Initial Setting Time (IST),13,2,24,0.00011954361784310352,0.0038999067798234305,21.234086442149664
Initial Setting Time (IST),13,3,24,0.00013386077426542342,0.0038635774253054167,21.180846141529592
Initial Setting Time (IST),13,4,24,0.00011212141226376229,0.0037143025315345725,21.231671049618623
Initial Setting Time (IST),13,5,24,0.00014697421374685986,0.005224573517988324,21.646327094932058
Initial Setting Time (IST),13,6,24,0.0001290855376905372,0.0032654477753051286,21.288834292081553
Initial Setting Time (IST),13,7,24,0.00010426545288427302,0.003803497278634246,21.22629385203546
Initial Setting Time (IST),13,8,24,0.00011114220561457135,0.003691009659235215,21.175079625361164
Initial Setting Time (IST),13,9,24,0.00011104970293822666,0.0038039409012471637,21.2247037664102
Initial Setting Time (IST),13,10,24,0.00013241486859727762,0.003658576375587079,21.177132601653135
Initial Setting Time (IST),13,11,24,0.0001,0.0038402958540834603,21.19117198137522
Initial Setting Time (IST),13,12,24,0.00012905481836408432,0.004314342979505863,21.221370632279005
Initial Setting Time (IST),13,13,24,0.00018392756479707872,0.004938868763636273,21.546758378090395
Initial Setting Time (IST),13,14,24,0.0001,0.004151407541379233,21.18262201267695
Initial Setting Time (IST),14,0,24,0.00012639315945814684,0.004230475947458787,21.276013332695786
Initial Setting Time (IST),14,1,24,0.0001432969922340243,0.00365137208388013,21.228075215465022
Initial Setting Time (IST),14,2,24,0.00011508506373349941,0.003468372706678513,21.1969903893884
Initial Setting Time (IST),14,3,24,0.0001478526183265892,0.003982540265505732,21.255056377513906
Initial Setting Time (IST),14,4,24,0.00012991974850468669,0.0037646743757349674,21.178420141260315
Initial Setting Time (IST),14,5,24,0.0001785271952750588,0.004728146022238266,21.46431172628576
Initial Setting Time (IST),14,6,24,0.00013011030149518365,0.003870097975611099,21.222170960592024
Initial Setting Time (IST),14,7,24,0.00012089146865366483,0.003724088900455352,21.175530453579096
Initial Setting Time (IST),14,8,24,0.00012969263893228535,0.0037210697707676186,21.232230238356262
Initial Setting Time (IST),14,9,24,0.00013011681163215512,0.0038316658588399026,21.18815682469678
Initial Setting Time (IST),14,10,24,0.00012976345538897742,0.0036654006962165155,21.176454475809976
Initial Setting Time (IST),14,11,24,0.00010641530211784985,0.0037617071349009047,21.179254582149838
Initial Setting Time (IST),14,12,24,0.0001528847402500586,0.0032385322861650865,21.299327102098054
Initial Setting Time (IST),14,13,24,0.00019839014243361148,0.004005929067812753,21.265887555119697
Initial Setting Time (IST),14,14,24,0.00010834385075656997,0.0029714334990251193,21.521284648317035
Initial Setting Time (IST),15,0,24,0.00012580274155723367,0.004013717668376096,21.267069138615607
Initial Setting Time (IST),15,1,24,0.00011118882560659236,0.0036906749823896767,21.176021616258254
Initial Setting Time (IST),15,2,24,0.00010811527897779259,0.0034350206562807875,21.219708245019596
Initial Setting Time (IST),15,3,24,0.00012420467207523834,0.003777662941307186,21.22959123037156
Initial Setting Time (IST),15,4,24,0.00012339153899449887,0.003631435381979195,21.184100075208217
Initial Setting Time (IST),15,5,24,0.00018097181599980366,0.004224309668179293,21.26816113146695
Initial Setting Time (IST),15,6,24,0.00011993891747868668,0.003884613514033228,21.24180726522395
Initial Setting Time (IST),15,7,24,0.00014610651845509045,0.003599096044828488,21.180644998896557
Initial Setting Time (IST),15,8,24,0.00011889383878029156,0.003671716939103933,21.18334533451312
Initial Setting Time (IST),15,9,24,0.00014250290096692577,0.003746387886399486,21.223583870606383
Initial Setting Time (IST),15,10,24,0.0001290768158186788,0.0036920412377764496,21.17456216362612
Initial Setting Time (IST),15,11,24,0.00014657895502156359,0.0037100816554276926,21.171328020285866
Initial Setting Time (IST),15,12,24,0.000148188103601541,0.003779010164647975,21.2220233210325
Initial Setting Time (IST),15,13,24,0.0001,0.0033236598817989373,21.31043019502006
Initial Setting Time (IST),15,14,24,0.0001098629798075476,0.0032921072581629076,21.264126584208142
Final Setting Time (FST),0,0,20,0.0020731719263694525,0.019404250827669656,49.42927635414835
Final Setting Time (FST),0,1,19,0.00019166024706981723,0.029069229955640496,49.757651643504936
Final Setting Time (FST),0,2,20,0.02281355236625612,0.0015565764265126965,90.67458413364356
Final Setting Time (FST),0,3,14,0.0012953707094821836,0.024555426586822138,50.63569069046379
Final Setting Time (FST),0,4,18,0.029395769940595316,0.004625101822337392,44.429511539437364
Final Setting Time (FST),0,5,10,0.0046105672499844215,0.0012465964452993302,104.21868822418139
Final Setting Time (FST),0,6,21,0.007852233350555963,0.013712972659534289,49.21932555115149
Final Setting Time (FST),0,7,12,0.08167592716599771,0.02186158682129273,49.47358858003502
Final Setting Time (FST),0,8,20,0.00038363314625091896,0.005012813020453317,43.11198604424558
Final Setting Time (FST),0,9,7,0.00029031433196504195,0.010582138220869822,44.67158663869775
Final Setting Time (FST),0,10,19,0.0798967653877021,0.0030813287578910797,66.15190737779396
Final Setting Time (FST),0,11,13,0.00256252100402382,0.0019240087315583302,90.73290390100858
Final Setting Time (FST),0,12,8,0.002673712944665897,0.0021895961641175458,97.36842430743683
Final Setting Time (FST),0,13,18,0.002048593340612813,0.01774260132484893,48.86759199025161
Final Setting Time (FST),0,14,19,0.0008651669568208021,0.01771698029282248,46.48630545387305
Final Setting Time (FST),1,0,20,0.00035589702812140954,0.007843512674985275,43.95082101450972
Final Setting Time (FST),1,1,19,0.00026232426156461717,0.005517499338303355,40.9507539798371
Final Setting Time (FST),1,2,20,0.013332760852098068,0.0019145874272624866,81.99895614034084
Final Setting Time (FST),1,3,23,0.00024668729487458074,0.004633203248772085,45.05558971492018
Final Setting Time (FST),1,4,19,0.0001,0.005081117498141074,41.68922756148644
Final Setting Time (FST),1,5,21,0.0008627754171110746,0.002200502982804535,67.93561864321434
Final Setting Time (FST),1,6,21,0.00013180176742160125,0.0068918528710659515,44.35594175742877
Final Setting Time (FST),1,7,15,0.006976086778786731,0.006081045798995526,43.902170169278094
Final Setting Time (FST),1,8,20,0.00038363314625091896,0.005012813020453317,43.11198604424558
Final Setting Time (FST),1,9,21,0.0003477957294634034,0.005238879998233845,43.72159633529784
Final Setting Time (FST),1,10,20,0.00043894990347552036,0.003277239425177424,52.9710865475182
Final Setting Time (FST),1,11,17,0.002276068965699502,0.0039116887550844645,49.840658136249665
Final Setting Time (FST),1,12,14,0.0017551768258859113,0.002489761840142363,73.00223612811493
Final Setting Time (FST),1,13,20,0.001334400014518311,0.003070930456506937,56.16607846303568
Final Setting Time (FST),1,14,20,0.0005666784930559146,0.00578607409701067,43.14697472308318
Final Setting Time (FST),2,0,19,0.0001,0.0034640261498339424,62.49344135801555
Final Setting Time (FST),2,1,20,0.00031668121915921446,0.0020357645484300993,79.09207525938679
Final Setting Time (FST),2,2,20,0.0055361088786186514,0.007094633460243125,43.708413475110035
Final Setting Time (FST),2,3,24,0.0001,0.0018144376715055381,72.53298251335954
Final Setting Time (FST),2,4,19,0.0001,0.005478850783791176,40.963168533261076
Final Setting Time (FST),2,5,24,0.00010822039884773176,0.010335084349489,45.61074449278874
Final Setting Time (FST),2,6,20,0.0001,0.003519005991573127,49.72784219371317
Final Setting Time (FST),2,7,23,0.00013563084264749586,0.0027633745315457504,56.49352296731987
Final Setting Time (FST),2,8,20,0.0003365499279631015,0.0051088038800465975,42.792936282416065
Final Setting Time (FST),2,9,24,0.0003681404859249982,0.0035737898747823377,45.758739656782325
Final Setting Time (FST),2,10,20,0.0001,0.0039752491532126285,44.33047676466589
Final Setting Time (FST),2,11,23,0.00020861524935771,0.008766789324924156,45.05477996738177
Final Setting Time (FST),2,12,19,0.0009580973769815721,0.008136936251201436,43.79174500723602
Final Setting Time (FST),2,13,20,0.0005095877633985094,0.005174510623708845,42.87298151430142
Final Setting Time (FST),2,14,20,0.00014574622766202198,0.0028967529515212284,59.33919680360538
Final Setting Time (FST),3,0,20,0.0001,0.004349059215987027,43.16850412279689
Final Setting Time (FST),3,1,19,0.0002839189567038369,0.00248739100646088,80.11668630211767
Final Setting Time (FST),3,2,19,0.00032501928255567717,0.011192656835013411,45.617343872405705
Final Setting Time (FST),3,3,18,0.00018351452220437836,0.0027001523130386327,61.852882871358894
Final Setting Time (FST),3,4,20,0.0001,0.0057669132262676785,43.13834498413711
